epoch,train_loss,val_auc,val_f1,lr
0,0.44326241405119904,0.8578989532151249,0.7876923076923077,3.3333333333333335e-05
1,0.39125568263205013,0.8764900662251652,0.8068669527896996,6.666666666666667e-05
2,0.40540465835021416,0.8787545396282845,0.7109375,0.0001
3,0.37930570557353444,0.8865146336252936,0.8006088280060882,0.0001
4,0.36265016442682374,0.9201132236701559,0.7431906614785992,9.988834393115767e-05
5,0.2812502032260975,0.9183240760521257,0.8453292496171516,9.9553874407739e-05
6,0.2593289573558305,0.9263245033112585,0.8436018957345972,9.899808525182935e-05
7,0.2441348421702648,0.901773125400555,0.8436018957345972,9.822345875271883e-05
8,0.2280069458291542,0.9092982268745993,0.696,9.723345458039594e-05
9,0.216836988991174,0.9117496261482592,0.8187702265372169,9.603249433382144e-05
10,0.21217717592527424,0.9195524460585347,0.845679012345679,9.462594179299406e-05
11,0.17894580565703158,0.8873905148472547,0.7987897125567323,9.302007896300698e-05
12,0.17630765347996447,0.9280869472334972,0.8079710144927537,9.122207801708802e-05
13,0.14515011511709205,0.9229972228156378,0.8490878938640133,8.923996926393305e-05
14,0.18667823781478476,0.9277024140141,0.8235294117647058,8.708260528239788e-05
15,0.10924449279019295,0.9058801538132878,0.8399412628487518,8.475962138373213e-05
16,0.10315711263071321,0.920075838496048,0.8363047001620746,8.228139257794012e-05
17,0.11185969477849143,0.9095866267891473,0.8278145695364238,7.965898723646776e-05
18,0.1116532882462012,0.9235847041230504,0.8360413589364845,7.690411765816864e-05
19,0.07160504170625147,0.9010574663533434,0.8180451127819549,7.402908775933419e-05
20,0.10444627674930203,0.9301377910702838,0.825,7.104673812141675e-05
21,0.0745083580500153,0.8881275368510992,0.8099861303744799,6.797038864187564e-05
22,0.052256183143299176,0.9270081179235203,0.8409090909090909,6.481377904428171e-05
23,0.052578888633301665,0.9325624866481519,0.8424242424242424,6.159100751337642e-05
24,0.05619706403388136,0.9223029267250585,0.8414239482200647,5.831646772915651e-05
25,0.045163831102976226,0.9114825891903431,0.838006230529595,5.5004784581204927e-05
26,0.046835166720200265,0.9369098483230076,0.8593996840442338,5.167074885038373e-05
27,0.03352943200076212,0.918382824182867,0.8261617900172117,4.832925114961629e-05
28,0.059387652559721414,0.9273125400555438,0.8473520249221184,4.4995215418795085e-05
29,0.02501693037094837,0.9222708822901092,0.8313253012048193,4.1683532270843504e-05
30,0.028530986161888233,0.9404828028199104,0.8433734939759037,3.840899248662358e-05
31,0.016133904102784157,0.9190878017517623,0.8409785932721713,3.5186220955718306e-05
32,0.009382977853283427,0.9298173467207861,0.8615384615384616,3.202961135812437e-05
33,0.013195934841382644,0.9296731467635116,0.8515497553017944,2.895326187858326e-05
34,0.020175066139285682,0.9205938901944029,0.851963746223565,2.5970912240665813e-05
35,0.0034415785141029068,0.900737022003845,0.8419452887537994,2.3095882341831372e-05
36,0.009494486987462945,0.9088015381328775,0.8444444444444444,2.0341012763532243e-05
37,0.00563221897856394,0.9199850459303561,0.8444444444444444,1.771860742205988e-05
38,0.004682828516451146,0.9153599658192689,0.849445324881141,1.5240378616267886e-05
39,0.006388891554100394,0.9262176885280922,0.8544303797468354,1.2917394717602121e-05
40,0.0012356766669565098,0.9271469771416364,0.8622366288492707,1.0760030736066951e-05
41,0.002757081952728986,0.9252616962187569,0.8609271523178808,8.777921982911996e-06
42,0.008830175605797122,0.9209517197180085,0.8608,6.979921036993042e-06
43,0.0014617733945514891,0.914355906857509,0.8460342146189735,5.374058207005944e-06
44,0.011781121584795431,0.9125988036744286,0.8473520249221184,3.967505666178556e-06
45,0.001659120831941708,0.9129085665456098,0.8535433070866142,2.7665454196040664e-06
