epoch,train_loss,val_auc,val_f1,lr
0,0.5656511477821379,0.8344477675710327,0.6666666666666666,0.0005
1,0.4318738153211246,0.8349391155735955,0.6476578411405295,0.001
2,0.393478081018065,0.8363757744071785,0.7312614259597806,0.001
3,0.38564105298660944,0.8367923520615261,0.6808510638297872,0.0009968561049466214
4,0.3810867404904507,0.838143559068576,0.75,0.0009874639560909118
5,0.381167798791233,0.8382984405041668,0.7332123411978222,0.0009719416651541838
6,0.3769846056418348,0.8384640034180739,0.6946564885496184,0.0009504844339512095
7,0.3799268162868169,0.8397244178594325,0.7474402730375427,0.0009233620996141421
8,0.37993195874540336,0.839430677205726,0.7216117216117216,0.000890915741234015
9,0.37745666129992356,0.8399540696432392,0.7446043165467626,0.0008535533905932737
10,0.3794397566896832,0.8398205511642817,0.7102803738317757,0.0008117449009293668
11,0.37854824456140457,0.8406323435163435,0.7526501766784452,0.0007660160382576683
12,0.37676111853865,0.8405789361247601,0.7332123411978222,0.0007169418695587791
13,0.37577673236122805,0.8407765434736177,0.7446043165467626,0.0006651395309775837
14,0.3759237053669075,0.8407498397778257,0.7113594040968343,0.0006112604669781572
15,0.37658568443972823,0.8410061952574237,0.7332123411978222,0.0005559822380516539
16,0.37454306602921184,0.8407712027344594,0.6896551724137931,0.0005
17,0.3767850590128881,0.8414548173467217,0.7544483985765125,0.0004440177619483461
18,0.37841996949401485,0.8414601580858798,0.7491039426523297,0.00038873953302184284
19,0.37613738490247817,0.8415990173039953,0.7491039426523297,0.00033486046902241664
20,0.37412602476581763,0.8414601580858798,0.7285974499089253,0.00028305813044122096
21,0.3738031217544495,0.8417165135654779,0.7468581687612208,0.00023398396174233177
22,0.374802112856319,0.8414815210425127,0.7216117216117216,0.00018825509907063325
23,0.3746094810585993,0.8416203802606291,0.7332123411978222,0.00014644660940672628
24,0.3728096770420394,0.8418980986968605,0.7491039426523297,0.00010908425876598516
25,0.3735030332794863,0.8417752616962192,0.7332123411978222,7.663790038585794e-05
26,0.37488111884066605,0.8417806024353777,0.7332123411978222,4.9515566048790485e-05
27,0.37406720640657115,0.8417325357829533,0.7332123411978222,2.8058334845816213e-05
28,0.37408533022084645,0.8417538987395862,0.7332123411978222,1.2536043909088191e-05
29,0.372322570504863,0.8417432172612694,0.7332123411978222,3.143895053378698e-06
