epoch,train_loss,lr,val_dice,val_iou,val_precision,val_recall,val_accuracy
0,0.6579415153714626,9.999999999999999e-05,0.5762330450540867,0.40472427250285264,0.4307679056270967,0.8700325807460755,0.9649762968077277
1,0.588598044012351,0.00019999999999999998,0.5848677843164515,0.41329550541957233,0.4376262649328571,0.8814288899571093,0.9657537014815059
2,0.5672032822937126,0.0003,0.6429104299910892,0.4737420758357665,0.5247441506358701,0.8297635246551377,0.9747722421539381
3,0.5536435700761169,0.0003,0.6387086967513312,0.4691932543953508,0.5260564976637322,0.8127560869532037,0.9748340964027274
4,0.5476493785674985,0.000299665031793473,0.6614098632411187,0.49410932075339037,0.590263452651098,0.7520578941969303,0.9789257304801848
5,0.5466070639626716,0.000298661623223217,0.620452905511972,0.4497511596312933,0.483358239363223,0.8661061896635182,0.970998156099714
6,0.5430115462282754,0.000296994255755488,0.6367934022554349,0.46712904948451245,0.5045438317299014,0.8630006333025577,0.9730558859460835
7,0.5391773975758231,0.00029467037625815644,0.6619516947753046,0.49471434789803387,0.5619590163076026,0.8052312317353246,0.9774902487613278
8,0.5349380198604295,0.00029170036374118777,0.6701906468161015,0.5039749834902998,0.5985464094583295,0.7613181849396068,0.9794917582305388
9,0.5331105328966697,0.0002880974830014643,0.6548061287925877,0.4867745406874699,0.5505630138601937,0.8077435862219808,0.9766911160916888
10,0.5331545346983623,0.00028387782537898215,0.6577702112935959,0.4900578252905061,0.5423903784693349,0.8355021614523054,0.9762048303645893
11,0.5303264578847149,0.0002790602368890209,0.6804116780998584,0.5156242040093985,0.6096779074023818,0.7697123687296046,0.980210025815198
12,0.5279228127533642,0.00027366623405126404,0.6690417368962555,0.5026767220604464,0.5955364738956102,0.7632470024102794,0.9793327475406247
13,0.5275767450126908,0.0002677199077917991,0.6750761233758501,0.5095206866494969,0.5792292756395407,0.8089327029132759,0.9786872794158268
14,0.5248864392958006,0.0002612478158471936,0.6411587220803905,0.4718422471401565,0.5091967969084825,0.8654448251042145,0.9734860858778014
15,0.4806808687684307,0.0002542788641511963,0.6612765442287859,0.4939605273800455,0.5425476434367213,0.8465270518536598,0.9762643781601658
16,0.44814065544753906,0.0002468441777338203,0.6839590907606184,0.5197095971400457,0.6020013224916007,0.7917496021723882,0.9799737953501606
17,0.4182707707862815,0.00023897696170940326,0.6594721065614852,0.49194955941566376,0.5373912894912326,0.8533244145342507,0.9758805138061226
18,0.39957730445438716,0.00023071235297450588,0.6552958495698882,0.48731600133775727,0.529057850643575,0.8606562269240904,0.9752179955624026
19,0.38538816801874903,0.00022208726327800255,0.6831282581296402,0.5187507912952779,0.586945762552889,0.8170115071159633,0.9792553050094568
20,0.4016847557264155,0.00021314021436425024,0.6864778702676559,0.5226237569423663,0.5955621117017567,0.8101519163124998,0.9797462361282385
21,0.3946621654516498,0.0002039111659256269,0.6859949503590611,0.52206416599884,0.6005250664353403,0.7998311193177621,0.979959357974013
22,0.3817933774685771,0.0001944413371328451,0.6809930662881062,0.5162922566082986,0.5865115860258356,0.8117599283104888,0.9791847006247861
23,0.38534121535533206,0.00018477302254012924,0.6871054338615284,0.5233515710880466,0.6013196757855863,0.8014409964638481,0.9800223770512861
24,0.37026780222538846,0.0001749494031874695,0.6710842192485508,0.5049862669770384,0.5534019664739543,0.852335377366088,0.9771326510575566
25,0.3727549758148265,0.00016501435374361475,0.6679151861977849,0.5014059009435982,0.547292757914377,0.856739076802559,0.9766829344477966
26,0.3893280450622783,0.00015501224655115118,0.6895528343037491,0.526196593311249,0.6002232646347345,0.8101208870305225,0.9800350787865855
27,0.3763476539433433,0.00014498775344884884,0.6881221361572271,0.5245321650153993,0.6140025299942939,0.7825932510463899,0.9805843139796941
28,0.3767546290302515,0.00013498564625638522,0.6769047241382286,0.511606939037206,0.5695562653975416,0.8341168650929897,0.9782064697748263
29,0.39039088396779675,0.0001250505968125305,0.6906533850475037,0.5274794139003147,0.6083723638347501,0.7986720145549369,0.9804182586298662
30,0.36275895942313174,0.00011522697745987075,0.6989649607138048,0.5372376143668564,0.6397517977174348,0.7702572463123049,0.9818408692260148
31,0.35896126449156956,0.0001055586628671549,0.6815955868552444,0.5169852133833898,0.5799178590848404,0.8265083325491227,0.9788652475732956
32,0.35110373179448007,9.608883407437309e-05,0.6824924885772067,0.5180179108354185,0.5792308762471469,0.8305593494363431,0.9788493158753481
33,0.3467176366627434,8.685978563574976e-05,0.6852492822695603,0.521200918948694,0.5970998856696107,0.803933342998191,0.9797867661264981
34,0.34724986977221795,7.791273672199742e-05,0.6886586020425226,0.5251558466126099,0.598114967888056,0.8115056747130844,0.979917301168697
35,0.3449749860892369,6.92876470254941e-05,0.6920065330605155,0.529059624953411,0.6082145467460532,0.8025750065068228,0.9804469477521242
36,0.3400791140468906,6.1023038290596715e-05,0.6862537084439223,0.52236395478695,0.5896369688463686,0.8207382425726829,0.9794602011242052
37,0.34444625365650117,5.315582226617963e-05,0.6685367524437335,0.5021068014237333,0.5471721077690113,0.8590846700934517,0.9766845563902472
38,0.33370905757809616,4.5721135848803653e-05,0.6895109377441402,0.5261478005449542,0.5950091153551514,0.8196989311853603,0.9797950800317917
39,0.3302529201339292,3.875218415280636e-05,0.6895767630524112,0.5262244621506138,0.5949190376852366,0.8200561070459355,0.9797924904927721
40,0.34102865229658597,3.228009220820085e-05,0.6837185552013515,0.5194318873847985,0.579268799594553,0.8341216127426911,0.9788785688488443
41,0.3342684569453996,2.6333765948735986e-05,0.6856493655879808,0.5216639667045235,0.5848054638258267,0.8285193013155222,0.9792072221890563
42,0.3386758915956176,2.0939763110979125e-05,0.6853496377714936,0.521317041749211,0.5852640605622691,0.8267277417888969,0.979223318633662
43,0.34123502964121205,1.612217462101783e-05,0.6857304530674999,0.5217578499539854,0.5825544021072626,0.8333194295020642,0.9790946236492073
44,0.3299909252986508,1.1902516998535666e-05,0.6832429645845886,0.5188830940014979,0.5838635173462764,0.8233926874325467,0.979104357624286
45,0.32973429065032145,8.299636258812197e-06,0.6756011709719147,0.5101191243635477,0.5619099777677119,0.8469681593785998,0.9777385428584116
46,0.3242358423333762,5.329623741843514e-06,0.691345867859485,0.5282876895277725,0.5959328975292428,0.8231355513335379,0.9798838111896004
47,0.3243795884929534,3.0057442445119872e-06,0.6963518849834658,0.5341563240588385,0.6111820613627525,0.8091024313901027,0.9806873015243641
48,0.3237777476767558,1.3383767767829956e-06,0.6998728576809667,0.538311088892895,0.637114317724695,0.7763463613927902,0.9817761864395327
49,0.32479216799625454,3.349682065270254e-07,0.6868648657148279,0.5230724910035514,0.5851442161589855,0.8313930706357011,0.9792525600052808
