epoch,train_loss,lr,val_dice,val_iou,val_precision,val_recall,val_accuracy
0,0.6470554668038938,9.999999999999999e-05,0.6392533451980463,0.4697813093584895,0.5425702279507468,0.7778646767232055,0.9759712613702111
1,0.5779768458633018,0.00019999999999999998,0.5713623947942621,0.39993514990246964,0.42057312505649336,0.8907118168153267,0.9634225478717591
2,0.5565532305502775,0.0003,0.639467485924427,0.47001264527582376,0.5186962091415269,0.8335475710261105,0.9742750831474063
3,0.5428829562896311,0.0003,0.6470429441596265,0.47824351953116745,0.541039564776401,0.8047050904130534,0.9759716952804232
4,0.5374333207899278,0.00029992133535682725,0.6803770448833256,0.5155844267828534,0.5999352547478392,0.785731108381212,0.9797949524111411
5,0.5328560907474058,0.0002996854239356567,0.6594926233412979,0.491972394053604,0.5494920597775601,0.8245573876396629,0.9766957522018692
6,0.5327496392887006,0.0002992925131749921,0.6376380206055202,0.4680386198746731,0.5052976209425838,0.8638979390961316,0.9731262374098284
7,0.5300999175842719,0.00029874301518396376,0.6792257773659531,0.5142633507878125,0.5934581589054023,0.7939720109094202,0.9794747661210035
8,0.5267288487407177,0.00029803750631008356,0.6752930356694054,0.5097678610081487,0.6041053161959351,0.7654994230757812,0.9798515417279988
9,0.5226550376303261,0.0002971767265347358,0.6656393978628642,0.4988452123037537,0.5613516205681498,0.8175176404859213,0.9775213185888137
10,0.521570311712779,0.0002961615786970389,0.6717456520638138,0.5057357072518212,0.5616654580239246,0.8354930052707383,0.9776516192730906
11,0.5196507319590244,0.0002949931275468917,0.6872716827060111,0.5235444940524544,0.609299499928853,0.7881286714804437,0.9803694031244357
12,0.5210507611329969,0.00029367259862819804,0.6767354037672038,0.5114135190299829,0.6097199840798213,0.760301509667825,0.9801197098409462
13,0.49921768228150776,0.00029220137699344055,0.6750618452886564,0.5095044194238094,0.5843676782681851,0.799079379855213,0.97894551168103
14,0.4744098831273398,0.0002905810057509515,0.6858045848543597,0.5218436900256255,0.5913984394031502,0.8160765592426136,0.9795342350238141
15,0.44622413072801176,0.0002888131844464056,0.6791689406242206,0.5141981904523003,0.5755593329037811,0.8282704736034909,0.9785825191043009
16,0.4490029363312597,0.000286899767280231,0.6894681287918288,0.5260979484277727,0.5977175249729888,0.8144943202001467,0.9799193547009841
17,0.4186806973302737,0.00028484276116280926,0.6867252019673182,0.5229105157550039,0.5895028718919234,0.8223491370722764,0.9794649230882779
18,0.43359964090058095,0.00028264432360950353,0.691935448711241,0.5289765310355041,0.6054143182750166,0.8073099392894288,0.9803250305844049
19,0.3831612385574576,0.00028030676047772265,0.6841680394301064,0.51995092073443,0.607456889759481,0.7830540274058073,0.9802128775566453
20,0.38938393140382266,0.0002778325235483954,0.6593867368529559,0.4918545526732056,0.5470742614382735,0.8297268151494104,0.9765385908512013
21,0.38794568915131644,0.00027522420795439065,0.6979519291870269,0.5360415984881721,0.6298811031724629,0.7825181364457562,0.9814628661403981
22,0.374089776012284,0.0002724845494585816,0.6861989685307468,0.522300525037155,0.6176806139760769,0.7718152384295108,0.9806796373242009
23,0.3706783640891261,0.0002696164215844081,0.6842375411507341,0.5200312081780718,0.5963378539770628,0.8025297342757411,0.979727264738431
24,0.37354684773675323,0.0002666228326019474,0.6661394228940866,0.4994070852138189,0.5427854720237469,0.8620496621114656,0.9763500673057389
25,0.3800797701196814,0.00026350692237265427,0.6804658786615134,0.5156864590748695,0.5908439242048381,0.8021378836164537,0.9793814777457801
26,0.3654895688332652,0.00026027195905608006,0.6982692220289485,0.5364160038662595,0.6600912841088385,0.7411344848079443,0.9824696190455824
27,0.37050691923711715,0.0002569213356820244,0.6640967168175971,0.49711436836623296,0.6684998511718759,0.6597512061997518,0.98173327341567
28,0.35533008016192036,0.00025345856659171563,0.6922253002435289,0.5293154091239359,0.616903916833209,0.7884975469063545,0.9808096270781654
29,0.35548333164671014,0.00024988728375175214,0.7051742164457537,0.5446093408103738,0.6662116873821746,0.7489771782174435,0.982859036058115
30,0.3524687135035652,0.00024621123294467096,0.6999709801402075,0.5384271961988196,0.668769039367595,0.7342269088307126,0.9827729408468353
31,0.35154646926453087,0.0002424342698401391,0.7064836217077112,0.5461729233304466,0.656558692293054,0.7646260250896325,0.9826109067076895
32,0.36124367059161505,0.00023856035595088839,0.6877310143912665,0.524077778209658,0.654335340466586,0.7247188925089713,0.9819873568495404
33,0.35310776309895564,0.00023459355447763596,0.6893653516977579,0.5259782751743529,0.6012270801928933,0.8077843651417379,0.9800752212821422
34,0.3526114780726203,0.00023053802604734757,0.6952873090680107,0.5329045343855354,0.6307841698189327,0.7744851131509043,0.98142037542487
35,0.3472216155048552,0.00022639802434931444,0.7015393472440598,0.5402854108478878,0.6305610092685202,0.7905236911959069,0.9815902640349674
36,0.34020538014527996,0.00022217789167362073,0.6971072279947854,0.5350457405039587,0.6507776651513428,0.7505389006308434,0.9821490986213777
37,0.3571539632984612,0.00021788205435668083,0.678059251596518,0.5129271129703926,0.5609122904320882,0.8570560671995897,0.9777251310882197
38,0.3465945323783702,0.00021351501813862356,0.7044008292901365,0.5436873110255178,0.6381825217246377,0.7859517893128704,0.9819458569343362
39,0.3338913539881354,0.00020908136343739307,0.695826641268393,0.5335384568391502,0.6057209323363816,0.8174249765372841,0.9804401444112587
40,0.3346769237935847,0.00020458574054452313,0.6964866530644631,0.5343149379343537,0.6081684296052179,0.814813938760405,0.9805633656299897
41,0.3444511502696381,0.0002000328647476231,0.686848727469755,0.5230537728881006,0.5861354508436263,0.8293531072943392,0.9793019143914364
