epoch,train_loss,lr,val_dice,val_iou,val_precision,val_recall,val_accuracy
0,0.6582261448675506,9.999999999999999e-05,0.5615342590698923,0.3903702695809813,0.4283063852938293,0.8150668358864661,0.9651622377752967
1,0.5928000166607799,0.00019999999999999998,0.5213652736773083,0.35259909996427846,0.3794910580491312,0.8326575562660068,0.958156678508378
2,0.5761635294683127,0.0003,0.5483122265774404,0.37770671945849393,0.43013545323009345,0.7560248946403267,0.9659086561551059
3,0.5674648950642485,0.0003,0.5692226630642813,0.39784154275422023,0.43221159039740625,0.8334153150701417,0.965475312114632
4,0.5573659650592565,0.00029992133535682725,0.579056661698863,0.4075156595555572,0.4570166240304469,0.790020949004307,0.9685631656878766
5,0.5534066621864846,0.0002996854239356567,0.5188461908415285,0.350298657461047,0.3709367703722879,0.8629395920921105,0.9561950377304188
6,0.5522770507931295,0.0002992925131749921,0.570582445042257,0.3991712869785796,0.4256275498552637,0.8652628036058393,0.9643543085622671
7,0.5504619559544031,0.00029874301518396376,0.5811200673183069,0.4095625386849934,0.472967635589467,0.7533978335457053,0.9702733705803716
8,0.5459839489541705,0.00029803750631008356,0.5827294383042343,0.4111631568830428,0.45986192174552304,0.7951914786470209,0.9688311968986716
9,0.5462512194840711,0.0002971767265347358,0.6121530030702332,0.4410810445419812,0.49493089042543,0.8021350011148493,0.9721807424169387
10,0.5443918827555623,0.0002961615786970389,0.6075219516726058,0.4362883511178824,0.49152880257434317,0.7951696055466106,0.9718802932405124
11,0.5425913183014677,0.0002949931275468917,0.06228334339551768,0.03214264747285529,0.03239999082344215,0.8018553136797585,0.3391645320140532
12,0.5398530896724556,0.00029367259862819804,0.5768581418616853,0.4053412796221897,0.44282525324101185,0.8272463377393212,0.9667838391306337
13,0.5380912569760447,0.00029220137699344055,0.6430506397219908,0.4738943534268987,0.5698919456849523,0.737758905870214,0.9775832053228597
14,0.5361572591044792,0.0002905810057509515,0.6101662090670422,0.4390209916089709,0.4802018765211968,0.8365835234512694,0.9707424298400137
15,0.5366678647930289,0.0002888131844464056,0.5909793857457317,0.4194256491119619,0.4626368048140617,0.8178687970049107,0.969014812850024
16,0.5343185482376884,0.000286899767280231,0.6153954554354827,0.4444557529811051,0.49912545549522574,0.8022859085517882,0.9725535037743784
17,0.5344616216694885,0.00028484276116280926,0.6372588647709146,0.4676301670924371,0.525589897963982,0.8091806828307176,0.9747870275864056
18,0.5324559145054223,0.00028264432360950353,0.5863310507801868,0.4147583853375118,0.4552556676360572,0.8234015044962779,0.9682005722157276
19,0.5309669124785611,0.00028030676047772265,0.6095120441656491,0.43834399399735635,0.47366666387865786,0.8546102645882128,0.9700297009915911
20,0.5314429925706706,0.0002778325235483954,0.5943924258873269,0.4228722417510825,0.45942763088415584,0.8416381595735926,0.9685619335685043
21,0.5292464332316763,0.00027522420795439065,0.6319518860935909,0.46193688633441143,0.5222162858651954,0.800075199380092,0.9744936091476404
22,0.5299154133351213,0.0002724845494585816,0.5366428601076413,0.3667203620212052,0.398334565026194,0.8220838621452079,0.9611452385746939
23,0.5278576463460922,0.0002696164215844081,0.6023267592266051,0.4309496251737,0.47730608692564924,0.8160832568198709,0.9705065010237868
24,0.5280615745388392,0.0002666228326019474,0.6384134521074218,0.46887467645412517,0.5145927333889766,0.8407022791261944,0.9739354590719924
25,0.5279306731832965,0.00026350692237265427,0.6468109255104509,0.47799005896824986,0.5264024428597531,0.8386401883460454,0.9749329513586931
26,0.526969726695812,0.00026027195905608006,0.6342943373144013,0.4644443928474969,0.5328334314848217,0.7834834353654115,0.975273178731728
27,0.526290419092175,0.0002569213356820244,0.6328312348136027,0.4628771889235808,0.5745571822786174,0.7042603373713784,0.977632951852469
28,0.5252773173168955,0.00025345856659171563,0.6015854388852666,0.4301910575113851,0.483843380221638,0.7950616812953617,0.9711771893095216
29,0.5218627122577563,0.00024988728375175214,0.6693472526802299,0.5030217342792429,0.6038057899444964,0.7508499564657473,0.9796964756763764
30,0.5259384888281985,0.00024621123294467096,0.6595016896847967,0.49198248487886737,0.6212959489275003,0.7027141295989672,0.9801401778729293
31,0.5235083058590514,0.0002424342698401391,0.6529945457635881,0.4847749826920756,0.5634869514761912,0.776307871518425,0.9774182103846195
32,0.5220826032805459,0.00023856035595088839,0.6581290419235739,0.4904562826719216,0.5575609453423124,0.8029601595888529,0.9771680623075388
33,0.5220296760773443,0.00023459355447763596,0.6650218134499325,0.49815182011964,0.5892069404094141,0.7632285204882273,0.9789557793424657
34,0.5186483095151813,0.00023053802604734757,0.650565886005233,0.4821027416294857,0.5609843719946525,0.7741940652683137,0.9772374206505843
35,0.5210846808110996,0.00022639802434931444,0.6532601991009129,0.4850678643824105,0.547647449660325,0.8093398138751752,0.9764849437704342
36,0.519816619867074,0.00022217789167362073,0.6147842970750849,0.4438184578596341,0.5036289997190494,0.7889017753666493,0.9729416213766502
37,0.5203334745032636,0.00021788205435668083,0.637416218830263,0.46779965213079255,0.5118670155994146,0.8445697484847785,0.9737022613376887
38,0.5195283514908311,0.00021351501813862356,0.6051321209053298,0.4338275545480958,0.47246654736193333,0.8413886536258897,0.969946443599506
39,0.5175133971244656,0.00020908136343739307,0.6561575459799686,0.4882696956158135,0.5586231195098657,0.794955028735997,0.9771970229137262
40,0.5181658949311525,0.00020458574054452313,0.5952146440470725,0.42370504613020565,0.46273006378097997,0.8339969021585691,0.9689534574819597
41,0.5176672073821268,0.0002000328647476231,0.6718965383190917,0.5059067743628263,0.6215017729389968,0.731185021843427,0.9804551061922616
42,0.5177754965107227,0.0001954275113846926,0.6586843675982272,0.4910733549110887,0.5564246228716204,0.8069937119075287,0.9771099577855019
