epoch,train_loss,val_auc,val_f1,lr
0,0.898222576332127,0.8079257717655223,0.7392996108949417,3.3333333333333335e-05
1,0.5347843506712437,0.8300381546999658,0.841025641025641,6.666666666666667e-05
2,0.5383807291945735,0.8687825182101978,0.8885245901639345,0.0001
3,0.33363139332968583,0.876864377384669,0.8452173913043478,0.0001
4,0.23663510067428292,0.9082032604925427,0.899505766062603,9.988834393115767e-05
5,0.1922748650106276,0.8913978494623658,0.9147286821705426,9.9553874407739e-05
6,0.1443152035185591,0.8889524800554977,0.9159802306425041,9.899808525182935e-05
7,0.173098218359119,0.9250780437044749,0.9398373983739837,9.822345875271883e-05
8,0.08937423886759764,0.9239854318418315,0.7775628626692457,9.723345458039594e-05
9,0.062225618988742515,0.9100763093999313,0.8556338028169014,9.603249433382144e-05
10,0.069625066688684,0.9026534859521339,0.8877551020408163,9.462594179299406e-05
11,0.055780374002454905,0.9090183836281657,0.9064039408866995,9.302007896300698e-05
12,0.04078503504680657,0.9153139091224427,0.9286846275752774,9.122207801708802e-05
13,0.058608714287660096,0.8761012833853629,0.8962108731466227,8.923996926393305e-05
14,0.044245894117579176,0.835154353104405,0.8093525179856115,8.708260528239788e-05
15,0.03884807111114399,0.890305237599723,0.8297101449275363,8.475962138373213e-05
16,0.024591594240147636,0.8593652445369406,0.9016393442622951,8.228139257794012e-05
17,0.03227976508080239,0.9000520291363171,0.8709122203098106,7.965898723646776e-05
18,0.02304692053343796,0.8960110995490813,0.909688013136289,7.690411765816864e-05
19,0.052261224482546303,0.8923170308706212,0.8958677685950414,7.402908775933419e-05
20,0.023760157559202404,0.9210371141172392,0.9299363057324841,7.104673812141675e-05
21,0.008770335308562034,0.8873395768296913,0.8656195462478184,6.797038864187564e-05
22,0.019174275670286598,0.9093132154006243,0.8777969018932874,6.481377904428171e-05
