epoch,train_loss,val_auc,val_f1,lr
0,0.2651681748931634,0.8856919875130075,0.909375,3.3333333333333335e-05
1,0.2694046317232908,0.7883107873742631,0.8806818181818182,6.666666666666667e-05
2,0.2598774599031072,0.8937738466874785,0.8546099290780141,0.0001
3,0.23311169168426701,0.9135102323968091,0.9063545150501672,0.0001
4,0.20244537772229995,0.9229795352063823,0.9161290322580645,9.988834393115767e-05
5,0.20670796384613482,0.9156954561220952,0.9102990033222591,9.9553874407739e-05
6,0.18188403412802456,0.9084287200832469,0.8438061041292639,9.899808525182935e-05
7,0.1841911671513447,0.9298647242455775,0.9237668161434978,9.822345875271883e-05
8,0.18933854169552422,0.9428546652792231,0.9364341085271318,9.723345458039594e-05
9,0.18738035273161982,0.9373916059660077,0.8953687821612349,9.603249433382144e-05
10,0.13604158414339168,0.9350502948317728,0.9163879598662207,9.462594179299406e-05
11,0.11119036363558414,0.9434616718695803,0.9445324881141046,9.302007896300698e-05
12,0.1309706358085284,0.9258758237946584,0.9300155520995335,9.122207801708802e-05
13,0.12420754451667253,0.9450919181408255,0.9324546952224053,8.923996926393305e-05
14,0.10895412130666345,0.9379465834200488,0.9379084967320261,8.708260528239788e-05
15,0.09266931578633132,0.9387270204647937,0.9467084639498433,8.475962138373213e-05
16,0.09763040086704042,0.9509365244536947,0.906896551724138,8.228139257794012e-05
17,0.07733221079107916,0.9336108220603535,0.7876447876447876,7.965898723646776e-05
18,0.09109610228874924,0.9469129379118976,0.9293924466338259,7.690411765816864e-05
19,0.05849371386816961,0.9232223378425253,0.9382716049382716,7.402908775933419e-05
20,0.04489694156297177,0.9386403052375999,0.9415481832543444,7.104673812141675e-05
21,0.03225037228076559,0.9164932362122791,0.9272727272727272,6.797038864187564e-05
22,0.046826796238458215,0.9414845646895598,0.9251247920133111,6.481377904428171e-05
23,0.029547534955255923,0.9372702046479368,0.9258649093904449,6.159100751337642e-05
24,0.018264786038650355,0.953035032951787,0.9156626506024096,5.831646772915651e-05
25,0.024521113220291445,0.9439472771418662,0.9375,5.5004784581204927e-05
26,0.014494326844207508,0.9489594172736736,0.918918918918919,5.167074885038373e-05
27,0.03288604346395267,0.9463753035032955,0.9269102990033222,4.832925114961629e-05
28,0.0197601515252029,0.9451092611862644,0.9480314960629921,4.4995215418795085e-05
29,0.02432078880380378,0.9529309746791538,0.9434571890145396,4.1683532270843504e-05
30,0.005246665418656407,0.9567291016302466,0.9384359400998337,3.840899248662358e-05
31,0.01747857069074477,0.9538848421782865,0.935064935064935,3.5186220955718306e-05
32,0.005850213778882538,0.9531737773152972,0.9359605911330049,3.202961135812437e-05
33,0.003452138636519813,0.952913631633715,0.9488817891373802,2.895326187858326e-05
34,0.018046694880163833,0.9549427679500522,0.9357495881383855,2.5970912240665813e-05
35,0.005632165054413832,0.9541623309053074,0.9385113268608414,2.3095882341831372e-05
36,0.0021200977134296084,0.9557752341311134,0.9441786283891547,2.0341012763532243e-05
37,0.0034020175687090185,0.9528789455428377,0.9204737732656514,1.771860742205988e-05
38,0.0026741229620423105,0.9539195282691644,0.9429037520391517,1.5240378616267886e-05
39,0.007800695125741779,0.9512660423170314,0.9322314049586777,1.2917394717602121e-05
40,0.002862980467408627,0.9527055150884496,0.933993399339934,1.0760030736066951e-05
41,0.0006147407438100796,0.9559833506763793,0.9306930693069307,8.777921982911996e-06
42,0.0005107358161309548,0.9556538328130423,0.9357495881383855,6.979921036993042e-06
43,0.0004942997151181422,0.9567117585848075,0.9434571890145396,5.374058207005944e-06
44,0.00040718913595276073,0.9589143253555323,0.9472,3.967505666178556e-06
45,1.0291221577463653e-05,0.9581165452653486,0.9453376205787781,2.7665454196040664e-06
46,0.0018939204835155146,0.9579431148109608,0.9413680781758957,1.7765412472811716e-06
47,0.0004417057849406567,0.9583766909469302,0.9451612903225807,1.0019147481706625e-06
48,0.0031931694447361095,0.9582379465834201,0.9451612903225807,4.461255922609986e-07
49,0.00011388983448731461,0.958324661810614,0.9451612903225807,1.1165606884234181e-07
