epoch,train_loss,val_auc,val_f1,lr
0,0.3327630210209992,0.8311134235171695,0.5590909090909091,3.3333333333333335e-05
1,0.2893943168202093,0.8796219216094344,0.9105691056910569,6.666666666666667e-05
2,0.26249881912355816,0.8677766215747482,0.9053627760252366,0.0001
3,0.2689547709634205,0.8616718695802987,0.8863309352517985,0.0001
4,0.25509311271019736,0.9181408255289633,0.9237804878048781,9.988834393115767e-05
5,0.23696005176856863,0.9063995837669095,0.8596491228070176,9.9553874407739e-05
6,0.196422519081652,0.9019424210891432,0.9111842105263158,9.899808525182935e-05
7,0.23058399124127585,0.8989767603191121,0.913767019667171,9.822345875271883e-05
8,0.18470320211594674,0.9141692681234828,0.9207772795216741,9.723345458039594e-05
9,0.19299854308967712,0.9380506416926814,0.9463722397476341,9.603249433382144e-05
10,0.18033017719771932,0.9262053416579952,0.887719298245614,9.462594179299406e-05
11,0.17696273988555056,0.930298300381547,0.928,9.302007896300698e-05
12,0.16790823237456684,0.9364724245577526,0.9411764705882353,9.122207801708802e-05
13,0.16516578057902806,0.9466874783211934,0.9387096774193548,8.923996926393305e-05
14,0.1505461364591692,0.9279743322927507,0.6652360515021459,8.708260528239788e-05
15,0.12727123098161758,0.938172043010753,0.9348171701112877,8.475962138373213e-05
16,0.10489480228419545,0.9439472771418663,0.929159802306425,8.228139257794012e-05
17,0.11805563826193934,0.9507110648629898,0.945054945054945,7.965898723646776e-05
18,0.12012472418590524,0.9525494276795006,0.9306930693069307,7.690411765816864e-05
19,0.09853059981459253,0.9275927852930974,0.9386503067484663,7.402908775933419e-05
20,0.10377121624231465,0.9244710371141172,0.9115191986644408,7.104673812141675e-05
21,0.07598302781099958,0.9407734998265698,0.9439252336448598,6.797038864187564e-05
22,0.0773001421734303,0.9332813041970172,0.9447077409162717,6.481377904428171e-05
23,0.06796004909083218,0.94006243496358,0.9438202247191011,6.159100751337642e-05
24,0.05024168943432999,0.9398716614637532,0.9166666666666666,5.831646772915651e-05
25,0.04713903351216559,0.932969129379119,0.922077922077922,5.5004784581204927e-05
26,0.04384998288512367,0.9430627818244884,0.941747572815534,5.167074885038373e-05
27,0.05218878063725146,0.9318418314255984,0.9440993788819876,4.832925114961629e-05
28,0.040198114649129875,0.9394207422823448,0.9245901639344263,4.4995215418795085e-05
29,0.017575083440330885,0.9441553936871316,0.9339774557165862,4.1683532270843504e-05
30,0.017510274033390474,0.9460631286853974,0.934640522875817,3.840899248662358e-05
31,0.00845737477525341,0.9381546999653141,0.9240506329113924,3.5186220955718306e-05
32,0.017361814452563074,0.946808879639265,0.9106529209621993,3.202961135812437e-05
33,0.008451132960204992,0.945473465140479,0.9326765188834154,2.895326187858326e-05
