epoch,train_loss,val_auc,val_f1,lr
0,0.3164364861209965,0.6966007630939995,0.8728323699421965,3.3333333333333335e-05
1,0.29673089365885913,0.844484911550468,0.8589951377633711,6.666666666666667e-05
2,0.2510789237167249,0.8761359694762405,0.8914956011730205,0.0001
3,0.1882561374996794,0.883125216788068,0.5083932853717026,0.0001
4,0.17786874819297196,0.9307492195629554,0.7977099236641222,9.988834393115767e-05
5,0.16591580600514175,0.933714880332987,0.9233278955954323,9.9553874407739e-05
6,0.18311938182086626,0.9313909122441905,0.77431906614786,9.899808525182935e-05
7,0.16063996624622973,0.9285466527922306,0.9451612903225807,9.822345875271883e-05
8,0.14251851203900828,0.9082032604925426,0.8022388059701493,9.723345458039594e-05
9,0.12614432321997962,0.9031390912244194,0.851520572450805,9.603249433382144e-05
10,0.14698589469277554,0.9149670482136671,0.8858131487889274,9.462594179299406e-05
11,0.11201032706017361,0.9348421782865071,0.93354943273906,9.302007896300698e-05
12,0.10062130314688844,0.9234824835241077,0.9243156199677939,9.122207801708802e-05
13,0.10132671495855333,0.921436004162331,0.8717047451669596,8.923996926393305e-05
14,0.08967204324875253,0.9150190773499833,0.9358372456964006,8.708260528239788e-05
15,0.1187798715782366,0.9263614290669446,0.9118136439267887,8.475962138373213e-05
16,0.06884032731684976,0.8869927159209164,0.793233082706767,8.228139257794012e-05
17,0.05092633123643805,0.9292924037460982,0.8827586206896552,7.965898723646776e-05
18,0.06961010267379057,0.9206382240721463,0.8706293706293706,7.690411765816864e-05
19,0.057098633242174644,0.9180714533472079,0.907563025210084,7.402908775933419e-05
20,0.05785284944116603,0.9131633714880334,0.9168026101141925,7.104673812141675e-05
21,0.05057787107915061,0.9140825528962885,0.8405797101449275,6.797038864187564e-05
22,0.038483206811702454,0.9348421782865074,0.8998302207130731,6.481377904428171e-05
23,0.023689181396243663,0.9274193548387096,0.8632326820603907,6.159100751337642e-05
24,0.04612355990034226,0.9254075615678119,0.8923611111111112,5.831646772915651e-05
25,0.029636818588220478,0.918054110301769,0.8701754385964913,5.5004784581204927e-05
26,0.011511140080750026,0.9015608740894901,0.8494623655913979,5.167074885038373e-05
