epoch,train_loss,lr,val_dice,val_iou,val_precision,val_recall,val_accuracy
0,1.2056810765270838,3.3333333333333335e-05,0.2794580834728712,0.16242445521870832,0.16433036656401392,0.9333531754536458,0.9378838071636125
1,1.0365636677924022,6.666666666666667e-05,0.4322544228913263,0.2757172013130566,0.2904607271512851,0.8445243898095206,0.9713685886532653
2,0.8756594202404391,0.0001,0.5182201749263733,0.3497281891394519,0.38589293864125424,0.7886614960435486,0.9810747695125006
3,0.6443433287562984,0.0001,0.4589894217095506,0.29784962425030176,0.3147130679156067,0.8475284787754704,0.9742146146063712
4,0.43262584443938634,9.988834393115767e-05,0.43568996912047064,0.2785189383945234,0.29901838866694164,0.8024753548187666,0.9731720086016686
5,0.2545765835974811,9.9553874407739e-05,0.49143895473211724,0.32576670083964016,0.3511110901657544,0.8186119491019418,0.9781340758005778
6,0.10381585725542569,9.899808525182935e-05,0.5048247848683248,0.33763587020392566,0.3730590192277691,0.7805002266952175,0.9802390640857173
7,-0.10948179086344015,9.822345875271883e-05,0.5441315370724461,0.3737504801623846,0.41600824178053,0.7862974663866221,0.9829964824751312
8,-0.2399952519647052,9.723345458039594e-05,0.4729489676047392,0.30971392413971494,0.32822476447467647,0.8459568862521263,0.9756665962194305
9,-0.39771857733412735,9.603249433382144e-05,0.4749938895987054,0.31147015501053577,0.32744652465230595,0.8645682316384409,0.9753343903161342
10,-0.48960518848023227,9.462594179299406e-05,0.530402883420368,0.36091720474713346,0.39315422047621673,0.814871447812707,0.9813780613194883
11,-0.6743047241539288,9.302007896300698e-05,0.27618846752448034,0.16021964253125368,0.3346485617814508,0.2351158439733179,0.9840955703087102
12,-1.298594700975259,9.122207801708802e-05,0.17755680575117447,0.09742789586610946,0.26495652974005957,0.1335149712420059,0.9840369894613628
13,-1.6684515693874906,8.923996926393305e-05,1.7145287841008586e-05,8.572717411358091e-06,0.6228070174892275,8.572761920515997e-06,0.9870942044102289
14,-1.716880567599713,8.708260528239788e-05,0.008551364847441413,0.004294042385274134,0.3013835401511657,0.0043372138161528895,0.9870203834733152
15,-1.8488288649372528,8.475962138373213e-05,9.659443053417554e-07,4.829723859330906e-07,0.6666666655555555,4.829725025642816e-07,0.9870941638946533
16,-2.128348223360961,8.228139257794012e-05,0.41673171334925346,0.26320979006710843,0.539296623066608,0.3395604587997284,0.9877328077952067
17,-2.463300755501235,7.965898723646776e-05,0.41533045837691546,0.2620927880973321,0.5114853827780812,0.3496072527980706,0.9872967931959364
18,-2.467304571896819,7.690411765816864e-05,0.3993680203218291,0.24950646081813735,0.3791321948622748,0.42188577821057427,0.9836225494060641
19,-2.3403357567336407,7.402908775933419e-05,0.5596318313816471,0.38853387875022527,0.44756454648873034,0.7465675446100561,0.98483652071236
20,-2.8242463604844863,7.104673812141675e-05,0.5507137834468014,0.3799896646754499,0.4376931086208917,0.7424209841892905,0.984366233052771
21,-2.890329047968478,6.797038864187564e-05,0.5561299823769222,0.38516623767313385,0.42146231162944253,0.8172671121685515,0.983163191602121
22,-3.0104674828947418,6.481377904428171e-05,0.1742458723736019,0.09543775349429615,0.45846930724966967,0.10756316827546807,0.9868426603429458
23,-3.5077315751770453,6.159100751337642e-05,0.5730548989934173,0.4015956175112681,0.44829305928227764,0.794039394859602,0.9847301735597498
24,-3.5286056499883354,5.831646772915651e-05,0.5577117586770703,0.38668536752786165,0.42770735869966964,0.801259833772938,0.9835984379637475
25,-3.3725515790180105,5.5004784581204927e-05,0.5647591670672761,0.3934943558658834,0.43663200954266357,0.7993129716151013,0.9840999148250406
26,-3.3906019394103857,5.167074885038373e-05,0.33886988848950017,0.20399960613642645,0.5498525790266405,0.24489990093026512,0.9876672816432379
27,-4.085299053603129,4.832925114961629e-05,0.5843467068681787,0.41277529583210326,0.4629239449162242,0.7921146286937576,0.9854566349702722
28,-3.9276370139338552,4.4995215418795085e-05,0.5815842639223857,0.4100238379550536,0.455298210248071,0.8048160810524444,0.9850545755398818
29,-4.340457991276548,4.1683532270843504e-05,0.5972410442200355,0.4257617046457969,0.5038978130713063,0.7330291009044255,0.9872405186198117
30,-4.097840376647122,3.840899248662358e-05,0.43831074384314933,0.280664506152642,0.5038207530968378,0.38787654498375657,0.9871700854083292
31,-4.345107779224456,3.5186220955718306e-05,0.6046917317603274,0.4333750078921336,0.5430685434773033,0.6820899910589707,0.9884904116586922
32,-4.423166913274707,3.202961135812437e-05,0.5876030887750032,0.4160325501316516,0.4945805748275746,0.7237236696975194,0.9868894667407266
33,-4.882296743273624,2.895326187858326e-05,0.163622245861542,0.08910053799813418,0.44865053626632784,0.10005632666811144,0.9867985716053084
34,-4.755609543042895,2.5970912240665813e-05,0.5822765930277995,0.4107124070634867,0.45681347470846795,0.8027508906314795,0.9851352872412189
35,-4.803487084439996,2.3095882341831372e-05,0.5994847386843469,0.42804584515643707,0.48571094247991997,0.782864256352144,0.9864996928794711
36,-5.196109331239695,2.0341012763532243e-05,0.6082091085028021,0.4369974772923901,0.5046948549372371,0.7651417011136733,0.9872778786553277
37,-4.68700262890357,1.771860742205988e-05,0.602661656347338,0.43129257783907377,0.5462739166015773,0.6720302775461849,0.9885635298061994
38,-4.827390156927984,1.5240378616267886e-05,0.6137291138289361,0.4427194713178178,0.5300380721625363,0.7288046611676213,0.9881602471170862
39,-5.200341766581036,1.2917394717602121e-05,0.5477101402635164,0.37713555361661605,0.5431246492525356,0.5523737192927586,0.9882262360815909
40,-5.279130166277386,1.0760030736066951e-05,0.6070552878481826,0.435807166323497,0.5032352602372976,0.7648472086302347,0.9872210804933037
41,-4.977718029561365,8.777921982911996e-06,0.6148604214610518,0.44389780711457943,0.5278478505445703,0.7362222736051293,0.9880967155780668
42,-5.443329022812335,6.979921036993042e-06,0.6086559211001504,0.4374589509026561,0.5272124339868907,0.7198594067045027,0.9880532205494401
43,-5.446311782862546,5.374058207005944e-06,0.5877737031366821,0.4162036243356894,0.5449778127606408,0.6378637160266569,0.9884529861749387
44,-5.385021586457925,3.967505666178556e-06,0.5944366415050335,0.4229170018643185,0.47919749461213235,0.7826515069647644,0.986217188679315
45,-5.434980238334684,2.7665454196040664e-06,0.6098304979204913,0.43867348334736594,0.5074821068022584,0.7638911645614087,0.9873848647073983
46,-5.173904667196725,1.7765412472811716e-06,4.588200548797077e-06,2.294105537306681e-06,0.27536231880067213,2.2941193871803374e-06,0.9870941124710382
47,-5.22761392957972,1.0019147481706625e-06,0.606369274595695,0.43510039176251786,0.5076597060415523,0.7527305152290277,0.9873873143414267
48,-5.474482403959358,4.461255922609986e-07,0.6097571879188828,0.43859761950943654,0.5033477775935016,0.7732180880446788,0.9872269022698495
49,-5.452494379322876,1.1165606884234181e-07,0.478232016905173,0.3142607954811812,0.4718017004270155,0.484840036488572,0.9863462011798535
