classifier,cls_threshold,dice,iou,precision,recall,bg_fp_rate,scan_auroc,scan_f1,scan_precision,scan_recall,n_pos,n_neg
frozen_s0_cls,0.0,0.5602222133419456,0.427342157519627,0.600893213518441,0.6189711973114129,0.007196841657468727,0.8418980986968605,0.6724511930585684,0.5065359477124183,1.0,310,302
frozen_s0_cls,0.005,0.5602222133419456,0.427342157519627,0.600893213518441,0.6189711973114129,0.007196841657468727,0.8418980986968605,0.6724511930585684,0.5065359477124183,1.0,310,302
frozen_s0_cls,0.01,0.5602222133419456,0.427342157519627,0.600893213518441,0.6189711973114129,0.007196841657468727,0.8418980986968605,0.6731813246471227,0.5073649754500819,1.0,310,302
frozen_s0_cls,0.02,0.5602222133419456,0.427342157519627,0.600893213518441,0.6189711973114129,0.007191419903191685,0.8418980986968605,0.6753812636165577,0.5098684210526315,1.0,310,302
frozen_s0_cls,0.03,0.5589504121380622,0.4265501239927757,0.5983761069691242,0.6181203443933232,0.007047328429681751,0.8418980986968605,0.6798679867986799,0.5158597662771286,0.9967741935483871,310,302
frozen_s0_cls,0.05,0.5463195699583926,0.41711268095158943,0.5846024554459642,0.6061502858334047,0.006623443536147902,0.8418980986968605,0.6966551326412919,0.5421903052064632,0.9741935483870968,310,302
frozen_s0_cls,0.08,0.5463195699583926,0.41711268095158943,0.5846024554459642,0.6061502858334047,0.006174271494435246,0.8418980986968605,0.7114252061248527,0.5602968460111317,0.9741935483870968,310,302
frozen_s0_cls,0.1,0.5463195699583926,0.41711268095158943,0.5846024554459642,0.6061502858334047,0.005909852286837749,0.8418980986968605,0.719047619047619,0.569811320754717,0.9741935483870968,310,302
frozen_s0_cls,0.15,0.5415422784505612,0.41390706540517874,0.5776547792441765,0.601505222417169,0.005465735518993746,0.8418980986968605,0.7321867321867321,0.5912698412698413,0.9612903225806452,310,302
frozen_s0_cls,0.2,0.5389796787321719,0.4124023470141226,0.5745595556630649,0.5978122397803596,0.005155082292816409,0.8418980986968605,0.748730964467005,0.6171548117154811,0.9516129032258065,310,302
frozen_s0_cls,0.3,0.5026253218661466,0.38791161132010576,0.5183581571970287,0.5584156357490168,0.0042546794518027965,0.8418980986968605,0.7595307917888563,0.696236559139785,0.8354838709677419,310,302
frozen_s0_cls,0.4,0.46291257562568044,0.35969511145010613,0.46849227478359656,0.5152544477372895,0.0038841066788539366,0.8418980986968605,0.7596638655462185,0.7929824561403509,0.7290322580645161,310,302
frozen_s0_cls,0.5,0.4373464145787939,0.3419515782492657,0.43737714863511995,0.48800211705024255,0.0034061335885761587,0.8418980986968605,0.7491039426523297,0.842741935483871,0.6741935483870968,310,302
frozen_s0_cls,0.6,0.39857374917736615,0.3134335419727508,0.3943224398843014,0.4496903260560316,0.0032541124850533486,0.8418980986968605,0.7054409005628518,0.8430493273542601,0.6064516129032258,310,302
frozen_s0_cls,0.7,0.36093476188274143,0.28521018090349537,0.3564495324420513,0.40481153940334197,0.00279580358374724,0.8418980986968605,0.6640316205533597,0.8571428571428571,0.5419354838709678,310,302
frozen_s0_cls,0.8,0.3266746792864919,0.25991385496583613,0.32108152778421833,0.36815011048153806,0.0016958557533112584,0.8418980986968605,0.6286919831223629,0.9085365853658537,0.4806451612903226,310,302
frozen_s0_cls,0.9,0.2661112508862955,0.2142817378812564,0.2607275509145409,0.296799511859813,0.0006395190914735099,0.8418980986968605,0.5416666666666666,0.9590163934426229,0.3774193548387097,310,302
