name,family,dice,iou,precision,recall,bg_fp_rate,scan_auroc,scan_f1,scan_precision,scan_recall,seg_threshold,cls_threshold,n_pos,n_neg,note
night_base_attunet9_ungated,segmentation,0.5602222133419456,0.427342157519627,0.600893213518441,0.6189711973114129,0.007196841657468727,0.5,0.6724511930585684,0.5065359477124183,1.0,0.15,0.0,310,302,
cascade_cls_swin_tiny_bal+night_base_attunet9_youden,cascade,0.4884014806318677,0.3767982706140491,0.5257842089496636,0.5243487746594243,0.0020952547254415007,0.9404080324716939,0.853781512605042,0.8912280701754386,0.8193548387096774,0.15,0.05,310,302,cls cutoff = Youden J
cascade_cls_swin_tiny_bal+night_base_attunet9_dice,cascade,0.4884014806318677,0.3767982706140491,0.5257842089496636,0.5243487746594243,0.0020952547254415007,0.9404080324716939,0.853781512605042,0.8912280701754386,0.8193548387096774,0.15,0.05,310,302,cls cutoff max val Dice
cls_swin_tiny_bal,classifier,0.4884014806318677,0.3767982706140491,0.5257842089496636,0.5243487746594243,0.0020952547254415007,0.9404080324716939,0.853781512605042,0.8912280701754386,0.8193548387096774,0.15,0.05,310,302,scan metrics; pixel maps are gated S0
gated_attn_unet,one_model_hard,0.03295784533657731,0.02430485663822206,0.0278649580866173,0.04601913567930848,0.0001387092416298749,0.7590525528733176,0.10557184750733138,0.5806451612903226,0.05806451612903226,0.15,0.2,310,302,"hard gate, Kendall UW, S0 init"
gated_attn_unet_ungated,one_model_ungated,0.5665304181788823,0.4317091984247267,0.586457169887705,0.6511065807390016,0.00709727396063282,0.7590525528733176,0.0830860534124629,0.5185185185185185,0.04516129032258064,0.15,0.0,310,302,
