classifier,cls_threshold,dice,iou,precision,recall,bg_fp_rate,scan_auroc,scan_f1,scan_precision,scan_recall,n_pos,n_neg
cls_swin_tiny_bal,0.0,0.5602222133419456,0.427342157519627,0.600893213518441,0.6189711973114129,0.007196841657468727,0.9404080324716939,0.6724511930585684,0.5065359477124183,1.0,310,302
cls_swin_tiny_bal,0.005,0.5019365899354541,0.3864987722426869,0.5384628667279309,0.542063715257965,0.0026000024432027225,0.9404080324716939,0.8603896103896104,0.8660130718954249,0.8548387096774194,310,302
cls_swin_tiny_bal,0.01,0.49949490371928035,0.38453454502267814,0.5360560773834727,0.5395861053177492,0.0024045102959437087,0.9404080324716939,0.8651315789473685,0.8825503355704698,0.8483870967741935,310,302
cls_swin_tiny_bal,0.02,0.49466292874832096,0.3814456099771739,0.5321160096902389,0.5308496147212853,0.0021005902490342163,0.9404080324716939,0.8580968280467446,0.889273356401384,0.8290322580645161,310,302
cls_swin_tiny_bal,0.03,0.49242524073414284,0.3797326348713304,0.529401636870469,0.5289461957806384,0.0021005902490342163,0.9404080324716939,0.8561872909698997,0.8888888888888888,0.8258064516129032,310,302
cls_swin_tiny_bal,0.05,0.4884014806318677,0.3767982706140491,0.5257842089496636,0.5243487746594243,0.0020952547254415007,0.9404080324716939,0.853781512605042,0.8912280701754386,0.8193548387096774,310,302
cls_swin_tiny_bal,0.08,0.4884014806318677,0.3767982706140491,0.5257842089496636,0.5243487746594243,0.0020952547254415007,0.9404080324716939,0.853781512605042,0.8912280701754386,0.8193548387096774,310,302
cls_swin_tiny_bal,0.1,0.48768736072237867,0.3763967690150459,0.5228695834451639,0.523941865811738,0.0020952547254415007,0.9404080324716939,0.8518518518518519,0.8908450704225352,0.8161290322580645,310,302
cls_swin_tiny_bal,0.15,0.48663575943571136,0.3757832539500855,0.5207506047064342,0.5225220885236312,0.0020952547254415007,0.9404080324716939,0.8460236886632826,0.8896797153024911,0.8064516129032258,310,302
cls_swin_tiny_bal,0.2,0.48432723125865446,0.37398583353040543,0.5187179176382614,0.5198511000131117,0.0020952547254415007,0.9404080324716939,0.8440677966101695,0.8892857142857142,0.8032258064516129,310,302
cls_swin_tiny_bal,0.3,0.48432723125865446,0.37398583353040543,0.5187179176382614,0.5198511000131117,0.0018791139222314203,0.9404080324716939,0.848381601362862,0.8989169675090253,0.8032258064516129,310,302
cls_swin_tiny_bal,0.4,0.4819192201452953,0.3720648288942675,0.5163596640926797,0.5173911863721643,0.0018621228844738777,0.9404080324716939,0.8478632478632478,0.9018181818181819,0.8,310,302
cls_swin_tiny_bal,0.5,0.47945434801974707,0.37033406904928573,0.5143291410547182,0.5123971026454026,0.0018621228844738777,0.9404080324716939,0.8419243986254296,0.9007352941176471,0.7903225806451613,310,302
cls_swin_tiny_bal,0.6,0.4787246619813281,0.36993649509930326,0.5116889842511188,0.5118872091399643,0.0017483522753403238,0.9404080324716939,0.8393782383419689,0.9033457249070632,0.7838709677419354,310,302
cls_swin_tiny_bal,0.7,0.4787246619813281,0.36993649509930326,0.5116889842511188,0.5118872091399643,0.0016509583103384842,0.9404080324716939,0.8408304498269896,0.9067164179104478,0.7838709677419354,310,302
cls_swin_tiny_bal,0.8,0.47672791451351065,0.36849063305087143,0.5092942207038496,0.5101750303474532,0.001587391924208977,0.9404080324716939,0.8417391304347827,0.9132075471698113,0.7806451612903226,310,302
cls_swin_tiny_bal,0.9,0.4754362133190622,0.36768310410817273,0.508374330151617,0.5080070550150922,0.001587391924208977,0.9404080324716939,0.8397212543554007,0.9128787878787878,0.7774193548387097,310,302
